BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
1003550039,1,355,39,168,NORFOLK STREET,168 Norfolk Street HDFC,26012,1004328,21,COOP,2,Community Management Program (CMP),Mark Matthews,,103,2,74,26,12,10002,3001
1003500025,1,350,25,17,CLINTON STREET,17 Clinton Street HDFC,9658,1083426,17,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,2,74,26,12,10002,3001
1012150061,1,1215,61,513,AMSTERDAM AVENUE,170 West 85 Street HDFC,5967,1032134,28,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,169
1018440018,1,1844,18,194,MANHATTAN AVENUE,17-19 West 108 Street HDFC,25204,1055719,30,COOP,2,Community Management Program (CMP),Ron Sinacori,,107,7,69,30,13,10025,193
1003480073,1,348,73,172,DELANCEY STREET,172 Delancey Street HDFC,10158,1004212,22,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,12,10002,1402
1004210043,1,421,43,172,FORSYTH STREET,172 Forsyth Street HDFC,21619,1005605,17,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,7,10002,3601
1016390030,1,1639,30,173,EAST 111 STREET,173 East 111 Street HDFC,19368,1052204,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,29,13,10029,172
1019940043,1,1994,43,175,CLAREMONT AVENUE,175 Claremont Avenue HDFC,9602,1059868,36,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,109,7,70,30,13,10027,211
1016300031,1,1630,31,175,EAST 102 STREET,175 EAST 102ND HOUSING DEVELOPMENT FUND CORP,18893,1051892,10,RENTAL,2,,,,111,8,68,29,13,10029,166
1003480053,1,348,53,173,RIVINGTON STREET,175 Rivington Avenue HDFC,27456,1004204,26,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,12,10002,1402
1012110061,1,1211,61,176,WEST 81 STREET,176-178 West 81 Street HDFC,35868,1031997,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,165
1012110062,1,1211,62,178,WEST 81 STREET,176-178 West 81 Street HDFC,35869,1031998,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,165
1016300032,1,1630,32,177,EAST 102 STREET,177 EAST 102ND HOUSING DEVELOPMENT FUND CORP,18894,1051893,10,RENTAL,2,,,,111,8,68,29,13,10029,166
1012140001,1,1214,1,481,AMSTERDAM AVENUE,177 West 83 Street HDFC,5944,1032105,12,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,169
1016220051,1,1622,51,1779,MADISON AVENUE,1775-77-79 Madison Avenue HDFC,24731,1051682,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,30,13,10035,184
1016220052,1,1622,52,1777,MADISON AVENUE,1775-77-79 Madison Avenue HDFC,24730,1051683,18,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,30,13,10035,184
1016220053,1,1622,53,1775,MADISON AVENUE,1775-77-79 Madison Avenue HDFC,24729,1051684,18,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,30,13,10035,184
1018380044,1,1838,44,64,MANHATTAN AVENUE,18 West 103 Street HDFC,25349,1055408,11,RENTAL,2,Community Management Program (CMP),,,107,7,69,30,13,10025,189
1019250013,1,1925,13,180,ST NICHOLAS AVENUE,180 Saint Nicholas Avenue HDFC,28059,1058445,22,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,220
1018200002,1,1820,2,1801,ADAM C POWELL BOULEVARD,1801-05 7TH AVENUE HDFC,3364,1054917,25,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,216
1016310041,1,1631,41,180,EAST 104 STREET,180-84 East 104 Street HDFC,18981,1051930,33,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,8,68,29,13,10029,166
1018200061,1,1820,61,1809,ADAM C POWELL BOULEVARD,1809-15 7 Avenue HDFC,3365,1054938,38,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,216
1015570050,1,1557,50,1834,2 AVENUE,1834 2 Avenue HDFC,1092,1050322,29,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,108,5,68,29,12,10128,15601
