BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
3013280044,3,1328,44,430,ROGERS AVENUE,224 Lefferts Avenue HDFC,363822,3035282,14,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,309,40,43,20,9,11225,800
3024200035,3,2420,35,227,SOUTH 3 STREET,225 South 3 Street HDFC,372114,3063157,24,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,53,18,7,11211,523
3024080041,3,2408,41,227,SOUTH 2 STREET,227 South 2 Street HDFC,371982,3063013,22,COOP,2,Community Management Program (CMP),Mark Matthews,,301,34,53,18,7,11211,523
3042470029,3,4247,29,228,CRYSTAL STREET,228-232 Crystal Street HDFC,228739,3095359,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,305,42,60,18,8,11208,1196
3042470030,3,4247,30,232,CRYSTAL STREET,228-232 Crystal Street HDFC,228740,3095360,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,305,42,60,18,8,11208,1196
3022360005,3,2236,5,229,LEE AVENUE,229 Lee Avenue HDFC,323321,3061233,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,531
3030540024,3,3054,24,230,BUSHWICK AVENUE,230 Bushwick Avenue HDFC,807884,3071162,9,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11206,493
3022350038,3,2235,38,230,LEE AVENUE,230 Lee Avenue HDFC,323322,3061229,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,531
3009590007,3,959,7,231,5 AVENUE,231 Fifth Avenue HDFC,130265,3020279,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,306,39,52,25,7,11215,133
3027900031,3,2790,31,231,MAUJER STREET,231 Maujer Street HDFC,333536,3069645,6,COOP,2,Community Management Program (CMP),Kate Synak,,301,34,53,18,7,11206,495
3034470034,3,3447,34,232,MOFFAT STREET,232 Moffat Street HDFC,338417,3080173,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,304,37,54,18,8,11207,411
3052090022,3,5209,22,2323,NEWKIRK AVENUE,2321-23 NEWKIRK AVE HSNG DEV FUND CORP,344320,3120306,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,314,40,42,21,9,11226,51601
3016460010,3,1646,10,233,STUYVESANT AVENUE,233 Stuyvesant Avenue HDFC,378861,3045199,8,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11221,293
