time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2011-03-26T22:49:41.470Z	-15.851	-179.406	10	6	mww	382	45		1.18	pde	pde20110326224941470_10	2013-03-16T00:01:05.831Z	Fiji region	earthquake
2011-03-26T22:49:40.820Z	-15.848	-179.405	6	6	mww	382	45		1.17	pde	pde20110326224940820_6	2013-03-16T01:53:33.558Z	Fiji region	earthquake
2011-03-20T08:26:09.580Z	18.994	121.246	27	6	mww	392	28.5		1.1	pde	pde20110320082609580_27	2013-11-05T07:51:27.162Z	Luzon, Philippines	earthquake
2011-03-15T13:31:46.320Z	35.272	138.582	9	6	mww	450	39.9		0.92	pde	pde20110315133146320_9	2013-11-05T07:40:53.729Z	eastern Honshu, Japan	earthquake
2011-03-15T13:27:56.630Z	37.576	142.237	28	6	mww	375	39.4		1.02	pde	pde20110315132756630_28	2013-03-16T01:53:13.672Z	off the east coast of Honshu, Japan	earthquake
2011-03-14T06:12:36.060Z	37.785	142.456	14	6	mww	482	9.6		0.68	pde	pde20110314061236060_14	2013-03-16T01:53:09.920Z	off the east coast of Honshu, Japan	earthquake
2011-03-11T19:02:59.170Z	39.342	142.872	27.1	6	mwb	408	13.8		0.93	pde	pde20110311190259170_27	2013-03-16T01:52:53.891Z	near the east coast of Honshu, Japan	earthquake
2011-03-11T15:20:08.190Z	36.398	141.864	52.8	6	mb	130	41		0.96	pde	pde20110311152008190_52	2013-03-16T01:52:52.208Z	near the east coast of Honshu, Japan	earthquake
2011-03-11T10:10:34.220Z	39.185	142.76	26.5	6	mb	438	44.1		0.89	pde	pde20110311101034220_26	2013-03-16T01:52:49.350Z	near the east coast of Honshu, Japan	earthquake
2011-03-11T08:33:00.780Z	39.14	142.967	27.6	6	mb	231	63		0.81	pde	pde20110311083300780_27	2013-03-16T01:52:48.386Z	near the east coast of Honshu, Japan	earthquake
2011-03-11T08:31:09.260Z	37.469	141.176	37.3	6	mb	274	25.9		0.74	pde	pde20110311083109260_37	2013-11-05T07:23:26.227Z	near the east coast of Honshu, Japan	earthquake
2011-03-11T08:27:51.600Z	38.017	142.657	42.8	6	mb	362	32.2		1.09	pde	pde20110311082751600_42	2013-03-16T01:52:48.276Z	near the east coast of Honshu, Japan	earthquake
2011-03-11T07:30:18.450Z	37.442	141.195	49.2	6	mb	40	113.2		0.47	pde	pde20110311073018450_49	2013-11-05T07:18:13.304Z	near the east coast of Honshu, Japan	earthquake
2011-03-11T06:57:16.510Z	35.712	140.875	47.5	6	mb	368	36		0.83	pde	pde20110311065716510_47	2013-11-05T07:15:49.474Z	near the east coast of Honshu, Japan	earthquake
2011-03-09T21:22:17.580Z	38.345	142.648	23	6	mwc	395	65.6		1.04	pde	pde20110309212217580_23	2013-03-16T01:52:43.362Z	near the east coast of Honshu, Japan	earthquake
2011-03-09T18:16:16.440Z	38.315	142.434	22	6	mww	411	29.7		1.14	pde	pde20110309181616440_22	2013-03-16T01:52:43.039Z	near the east coast of Honshu, Japan	earthquake
2011-03-01T00:53:46.340Z	-29.701	-111.981	10	6	mww	227	52.3		1.12	pde	pde20110301005346340_10	2013-03-16T01:52:36.025Z	Easter Island region	earthquake
2011-02-13T10:35:06.740Z	-36.649	-73.176	17	6	mwc	308	50.4		1.03	pde	pde20110213103506740_17	2013-11-05T06:40:58.031Z	offshore Bio-Bio, Chile	earthquake
2011-01-31T06:03:27.300Z	-22.009	-175.622	76	6	mww	437	29.4		0.92	pde	pde20110131060327300_76	2013-03-16T01:52:15.011Z	Tonga region	earthquake
2011-01-24T02:45:31.520Z	38.413	72.791	110	6	mww	438	21.2		0.93	pde	pde20110124024531520_110	2013-03-16T01:52:10.654Z	Tajikistan	earthquake
2011-01-17T19:20:57.210Z	-5.03	102.647	36	6	mww	391	26.3		1.02	pde	pde20110117192057210_36	2013-03-16T01:52:06.537Z	southern Sumatra, Indonesia	earthquake
2010-12-26T02:13:37.680Z	-19.616	168.284	13	6	mwb	300	25.1		0.93	pde	pde20101226021337680_13	2013-03-16T01:51:46.886Z	Vanuatu	earthquake
2010-12-15T11:29:30.840Z	-7.268	128.786	134.9	6	mwc	364	15.4		0.92	pde	pde20101215112930840_134	2013-03-16T01:51:32.434Z	Kepulauan Barat Daya, Indonesia	earthquake
2010-11-21T04:36:31.440Z	-54.967	-131.479	10	6	mwc	169	40.6		1.22	pde	pde20101121043631440_10	2013-03-16T01:51:14.124Z	Pacific-Antarctic Ridge	earthquake
2010-11-03T11:18:15.570Z	-4.617	134.071	10	6	mwc	156	21.8		1.15	pde	pde20101103111815570_10	2013-03-16T01:51:01.135Z	near the south coast of Papua, Indonesia	earthquake
2010-10-08T03:49:10.720Z	51.287	-175.18	27.7	6	mwc	443	45.4			pde	pde20101008034910720_27	2013-03-16T01:50:48.618Z	Andreanof Islands, Aleutian Islands, Alaska	earthquake
2010-09-26T12:12:41.710Z	-5.314	133.917	30	6	mwc	345	19.5		0.81	pde	pde20100926121241710_30	2013-03-16T01:50:41.481Z	Kepulauan Kai, Indonesia	earthquake
2010-08-04T23:48:02.070Z	45.98	153.175	27.8	6	mwc	393	68.9		0.82	pde	pde20100804234802070_27	2013-03-16T01:50:17.864Z	east of the Kuril Islands	earthquake
2010-08-04T04:46:20.380Z	-26.916	-177.245	19	6	mwc	277	59.7		0.94	pde	pde20100804044620380_19	2013-03-16T01:50:17.041Z	south of the Fiji Islands	earthquake
2010-07-18T19:48:04.540Z	52.815	-169.719	10	6	mwb	474	48.7		1	pde	pde20100718194804540_10	2013-03-16T01:50:03.187Z	Fox Islands, Aleutian Islands, Alaska	earthquake
2010-06-17T13:06:46.590Z	-33.168	179.719	170.4	6	mwb	299	16.8		1.17	pde	pde20100617130646590_170	2013-03-16T01:49:49.438Z	south of the Kermadec Islands	earthquake
2010-06-09T23:23:17.350Z	-18.597	169.485	12	6	mwb	171	77.5		1.02	pde	pde20100609232317350_12	2013-11-05T04:49:16.614Z	Vanuatu	earthquake
2010-06-01T03:26:15.760Z	9.331	-84.206	18	6	mwc	370	44.9		1.05	pde	pde20100601032615760_18	2013-11-05T04:45:23.240Z	Costa Rica	earthquake
2010-05-31T10:16:00.230Z	6.948	124.025	20	6	mwc	234	18.5		1.06	pde	pde20100531101600230_20	2013-11-05T04:43:19.398Z	Mindanao, Philippines	earthquake
